# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.009731769561767578e-03 7.312993526458740234e+00 6.979903564453125000e+02 7.855201140046119690e-03 7.312993526458740234e+00 6.979903564453125000e+02
1.000000000000000000e+03 5.253062583506107330e-03 4.848203277587890625e+01 1.791322479248046875e+02 5.160775035619735718e-03 4.848203277587890625e+01 1.791322479248046875e+02
2.000000000000000000e+03 8.445118665695190430e-01 1.727795219421386719e+01 4.162379837036132812e+01 8.479815721511840820e-01 1.727795219421386719e+01 4.162379837036132812e+01
3.000000000000000000e+03 1.562273055315017700e-01 9.546376466751098633e-01 2.410248517990112305e+00 1.569118350744247437e-01 9.546376466751098633e-01 2.410248517990112305e+00
4.000000000000000000e+03 2.066695131361484528e-02 4.657064005732536316e-02 1.161830276250839233e-01 1.916310563683509827e-02 4.657064005732536316e-02 1.161830276250839233e-01
5.000000000000000000e+03 5.164542235434055328e-03 2.076303586363792419e-03 4.601956345140933990e-03 4.534568637609481812e-03 2.076303586363792419e-03 4.601956345140933990e-03
6.000000000000000000e+03 1.131238183006644249e-03 1.395693398080766201e-04 5.711980629712343216e-04 8.973047952167689800e-04 1.395693398080766201e-04 5.711980629712343216e-04
7.000000000000000000e+03 5.396720371209084988e-04 3.369339538039639592e-05 5.142302252352237701e-04 4.389596579130738974e-04 3.369339538039639592e-05 5.142302252352237701e-04
8.000000000000000000e+03 3.639914502855390310e-04 2.930944538093172014e-05 4.646414017770439386e-04 3.078019653912633657e-04 2.930944538093172014e-05 4.646414017770439386e-04
9.000000000000000000e+03 2.506992605049163103e-04 2.807044802466407418e-05 3.957469016313552856e-04 2.160478470614179969e-04 2.807044802466407418e-05 3.957469016313552856e-04
1.000000000000000000e+04 1.603978453204035759e-04 2.573451092757750303e-05 3.263090329710394144e-04 1.394895371049642563e-04 2.573451092757750303e-05 3.263090329710394144e-04
1.100000000000000000e+04 9.416510874871164560e-05 1.626535413379315287e-05 2.948048058897256851e-04 8.205883204936981201e-05 1.626535413379315287e-05 2.948048058897256851e-04
1.200000000000000000e+04 5.214477641857229173e-05 1.319616148975910619e-05 2.608654613140970469e-04 4.524361429503187537e-05 1.319616148975910619e-05 2.608654613140970469e-04
1.300000000000000000e+04 2.532361213525291532e-05 1.544422957522328943e-05 1.585645659361034632e-04 2.201737515861168504e-05 1.544422957522328943e-05 1.585645659361034632e-04
1.400000000000000000e+04 2.795037471514660865e-05 8.916689694160595536e-05 2.988600754179060459e-04 2.755656350927893072e-05 8.916689694160595536e-05 2.988600754179060459e-04
1.500000000000000000e+04 6.521466730191605166e-06 9.273916475649457425e-06 9.993065759772434831e-05 5.674940439348574728e-06 9.273916475649457425e-06 9.993065759772434831e-05
1.600000000000000000e+04 4.016128968942211941e-06 7.458602794940816239e-06 8.538972906535491347e-05 3.518125140544725582e-06 7.458602794940816239e-06 8.538972906535491347e-05
1.700000000000000000e+04 2.949560894194291905e-06 6.980878424656111747e-06 7.451247802237048745e-05 2.662085307747474872e-06 6.980878424656111747e-06 7.451247802237048745e-05
1.800000000000000000e+04 1.575001624587457627e-05 4.113129398319870234e-05 2.505433221813291311e-04 1.459982649976154789e-05 4.113129398319870234e-05 2.505433221813291311e-04
1.900000000000000000e+04 2.219433099526213482e-06 5.330802650860277936e-06 6.344908615574240685e-05 2.039004812104394659e-06 5.330802650860277936e-06 6.344908615574240685e-05
2.000000000000000000e+04 2.054412107099778950e-06 5.589471584244165570e-06 5.934902947046793997e-05 1.901977043416991364e-06 5.589471584244165570e-06 5.934902947046793997e-05
